Spec,Population
Elemental Shaman,33362
Affliction Warlock,23422
Destruction Warlock,16324
Arcane Mage,52689
Assassination Rogue,31917
Demonology Warlock,29494
Outlaw Rogue,5896
Shadow Priest,37563
Enhancement Shaman,9752
Havoc Demon Hunter,50136
Fury Warrior,38735
Marksmanship Hunter,32169
Feral Druid,10412
Devastation Evoker,30325
Subtlety Rogue,4715
Frost Death Knight,48893
Windwalker Monk,19998
Unholy Death Knight,17353
Beast Mastery Hunter,43461
Frost Mage,22947
Survival Hunter,3791
Fire Mage,2295
Balance Druid,34638
Augmentation Evoker,2226
Retribution Paladin,48368
Arms Warrior,4579
